Name	input_file	simulation_n	quant_method	tally_method	NumReads	truth
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	quantMtRNAseq_Cortex_tRNA_3	6	bowtie2	mapq10	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	quantMtRNAseq_Cortex_tRNA_3	7	bowtie2	mapq10	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	quantMtRNAseq_Cortex_tRNA_3	8	bowtie2	mapq10	0.0	0
Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1	quantMtRNAseq_Cortex_tRNA_3	9	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_1	0	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_1	1	bowtie2	mapq10	1.0	31
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_1	2	bowtie2	mapq10	0.0	58
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_1	3	bowtie2	mapq10	0.0	18
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_1	4	bowtie2	mapq10	0.0	3
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_1	5	bowtie2	mapq10	0.0	1
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_1	6	bowtie2	mapq10	0.0	809
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_1	7	bowtie2	mapq10	0.0	3166
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_1	8	bowtie2	mapq10	0.0	1
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_1	9	bowtie2	mapq10	0.0	27
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_2	0	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_2	1	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_2	2	bowtie2	mapq10	0.0	4
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_2	3	bowtie2	mapq10	0.0	19
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_2	4	bowtie2	mapq10	0.0	4
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_2	5	bowtie2	mapq10	1.0	3620
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_2	6	bowtie2	mapq10	0.0	28249
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_2	7	bowtie2	mapq10	0.0	4084
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_2	8	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_2	9	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_3	0	bowtie2	mapq10	0.0	8
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_3	1	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_3	2	bowtie2	mapq10	0.0	1207
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_3	3	bowtie2	mapq10	0.0	1042
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_3	4	bowtie2	mapq10	0.0	9
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_3	5	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_3	6	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_3	7	bowtie2	mapq10	0.0	1013
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_3	8	bowtie2	mapq10	0.0	7
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cerebellum_tRNA_3	9	bowtie2	mapq10	0.0	8
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_1	0	bowtie2	mapq10	0.0	14
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_1	1	bowtie2	mapq10	0.0	1
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_1	2	bowtie2	mapq10	0.0	16
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_1	3	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_1	4	bowtie2	mapq10	0.0	63
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_1	5	bowtie2	mapq10	0.0	22
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_1	6	bowtie2	mapq10	0.0	14
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_1	7	bowtie2	mapq10	0.0	3
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_1	8	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_1	9	bowtie2	mapq10	0.0	56
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_2	0	bowtie2	mapq10	0.0	2
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_2	1	bowtie2	mapq10	0.0	1
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_2	2	bowtie2	mapq10	0.0	1
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_2	3	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_2	4	bowtie2	mapq10	1.0	43
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_2	5	bowtie2	mapq10	0.0	68
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_2	6	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_2	7	bowtie2	mapq10	0.0	98
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_2	8	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_2	9	bowtie2	mapq10	0.0	2311
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_3	0	bowtie2	mapq10	0.0	1
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_3	1	bowtie2	mapq10	0.0	2
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_3	2	bowtie2	mapq10	0.0	12
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_3	3	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_3	4	bowtie2	mapq10	0.0	8
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_3	5	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_3	6	bowtie2	mapq10	0.0	1
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_3	7	bowtie2	mapq10	0.0	2
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_3	8	bowtie2	mapq10	1.0	3012
Mus_musculus_mito_tRNA-Ala-TGC-1	quantMtRNAseq_Cortex_tRNA_3	9	bowtie2	mapq10	0.0	2
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_1	0	bowtie2	mapq10	0.0	1692
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_1	1	bowtie2	mapq10	0.0	5
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_1	2	bowtie2	mapq10	0.0	111
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_1	3	bowtie2	mapq10	0.0	212
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_1	4	bowtie2	mapq10	0.0	5
