alignments	anticodons	agreement	count	input_file	simulation_n	quant_method
multiple	single	incorrect	249	quantMtRNAseq_Cerebellum_tRNA_1	6	bowtie2
single	single	correct	277866	quantMtRNAseq_Cerebellum_tRNA_1	6	bowtie2
single	single	incorrect	1464	quantMtRNAseq_Cerebellum_tRNA_1	6	bowtie2
multiple	single	correct	305676	quantMtRNAseq_Cerebellum_tRNA_1	6	shrimp
multiple	single	incorrect	119	quantMtRNAseq_Cerebellum_tRNA_1	6	shrimp
multiple	multiple	incorrect	16912	quantMtRNAseq_Cerebellum_tRNA_1	6	shrimp
single	single	correct	199759	quantMtRNAseq_Cerebellum_tRNA_1	6	shrimp
single	single	incorrect	193	quantMtRNAseq_Cerebellum_tRNA_1	6	shrimp
single	single	correct	196823	quantMtRNAseq_Cerebellum_tRNA_1	7	bowtie2
single	single	incorrect	2146	quantMtRNAseq_Cerebellum_tRNA_1	7	bowtie2
multiple	multiple	incorrect	89231	quantMtRNAseq_Cerebellum_tRNA_1	7	bowtie2
multiple	single	correct	687929	quantMtRNAseq_Cerebellum_tRNA_1	7	bowtie2
multiple	single	incorrect	134	quantMtRNAseq_Cerebellum_tRNA_1	7	bowtie2
single	single	correct	142958	quantMtRNAseq_Cerebellum_tRNA_1	7	shrimp
single	single	incorrect	101	quantMtRNAseq_Cerebellum_tRNA_1	7	shrimp
multiple	multiple	incorrect	3529	quantMtRNAseq_Cerebellum_tRNA_1	7	shrimp
multiple	single	correct	321609	quantMtRNAseq_Cerebellum_tRNA_1	7	shrimp
multiple	single	incorrect	59	quantMtRNAseq_Cerebellum_tRNA_1	7	shrimp
multiple	single	correct	403378	quantMtRNAseq_Cerebellum_tRNA_1	8	bowtie2
multiple	single	incorrect	233	quantMtRNAseq_Cerebellum_tRNA_1	8	bowtie2
multiple	multiple	incorrect	261624	quantMtRNAseq_Cerebellum_tRNA_1	8	bowtie2
single	single	correct	260710	quantMtRNAseq_Cerebellum_tRNA_1	8	bowtie2
single	single	incorrect	2137	quantMtRNAseq_Cerebellum_tRNA_1	8	bowtie2
multiple	single	correct	296103	quantMtRNAseq_Cerebellum_tRNA_1	8	shrimp
multiple	single	incorrect	113	quantMtRNAseq_Cerebellum_tRNA_1	8	shrimp
multiple	multiple	incorrect	74679	quantMtRNAseq_Cerebellum_tRNA_1	8	shrimp
single	single	correct	200678	quantMtRNAseq_Cerebellum_tRNA_1	8	shrimp
single	single	incorrect	617	quantMtRNAseq_Cerebellum_tRNA_1	8	shrimp
multiple	multiple	incorrect	142050	quantMtRNAseq_Cerebellum_tRNA_1	9	bowtie2
multiple	single	correct	409270	quantMtRNAseq_Cerebellum_tRNA_1	9	bowtie2
multiple	single	incorrect	484	quantMtRNAseq_Cerebellum_tRNA_1	9	bowtie2
single	single	correct	293917	quantMtRNAseq_Cerebellum_tRNA_1	9	bowtie2
single	single	incorrect	2801	quantMtRNAseq_Cerebellum_tRNA_1	9	bowtie2
single	single	correct	247843	quantMtRNAseq_Cerebellum_tRNA_1	9	shrimp
single	single	incorrect	253	quantMtRNAseq_Cerebellum_tRNA_1	9	shrimp
multiple	multiple	incorrect	2394	quantMtRNAseq_Cerebellum_tRNA_1	9	shrimp
multiple	single	correct	347645	quantMtRNAseq_Cerebellum_tRNA_1	9	shrimp
multiple	single	incorrect	192	quantMtRNAseq_Cerebellum_tRNA_1	9	shrimp
multiple	single	correct	254884	quantMtRNAseq_Cerebellum_tRNA_2	0	bowtie2
multiple	single	incorrect	110	quantMtRNAseq_Cerebellum_tRNA_2	0	bowtie2
multiple	multiple	incorrect	24494	quantMtRNAseq_Cerebellum_tRNA_2	0	bowtie2
single	single	incorrect	616	quantMtRNAseq_Cerebellum_tRNA_2	0	bowtie2
single	single	correct	702977	quantMtRNAseq_Cerebellum_tRNA_2	0	bowtie2
multiple	single	correct	70497	quantMtRNAseq_Cerebellum_tRNA_2	0	shrimp
multiple	single	incorrect	81	quantMtRNAseq_Cerebellum_tRNA_2	0	shrimp
multiple	multiple	incorrect	3293	quantMtRNAseq_Cerebellum_tRNA_2	0	shrimp
single	single	correct	563622	quantMtRNAseq_Cerebellum_tRNA_2	0	shrimp
single	single	incorrect	119	quantMtRNAseq_Cerebellum_tRNA_2	0	shrimp
multiple	single	correct	360265	quantMtRNAseq_Cerebellum_tRNA_2	1	bowtie2
multiple	single	incorrect	1016	quantMtRNAseq_Cerebellum_tRNA_2	1	bowtie2
multiple	multiple	incorrect	81361	quantMtRNAseq_Cerebellum_tRNA_2	1	bowtie2
single	single	correct	549011	quantMtRNAseq_Cerebellum_tRNA_2	1	bowtie2
single	single	incorrect	1813	quantMtRNAseq_Cerebellum_tRNA_2	1	bowtie2
multiple	single	correct	247393	quantMtRNAseq_Cerebellum_tRNA_2	1	shrimp
multiple	single	incorrect	1101	quantMtRNAseq_Cerebellum_tRNA_2	1	shrimp
multiple	multiple	incorrect	7747	quantMtRNAseq_Cerebellum_tRNA_2	1	shrimp
single	single	correct	537968	quantMtRNAseq_Cerebellum_tRNA_2	1	shrimp
single	single	incorrect	1117	quantMtRNAseq_Cerebellum_tRNA_2	1	shrimp
multiple	multiple	incorrect	71314	quantMtRNAseq_Cerebellum_tRNA_2	2	bowtie2
multiple	single	correct	159677	quantMtRNAseq_Cerebellum_tRNA_2	2	bowtie2
multiple	single	incorrect	219	quantMtRNAseq_Cerebellum_tRNA_2	2	bowtie2
single	single	correct	748289	quantMtRNAseq_Cerebellum_tRNA_2	2	bowtie2
single	single	incorrect	1414	quantMtRNAseq_Cerebellum_tRNA_2	2	bowtie2
single	single	correct	497314	quantMtRNAseq_Cerebellum_tRNA_2	2	shrimp
single	single	incorrect	78	quantMtRNAseq_Cerebellum_tRNA_2	2	shrimp
multiple	single	correct	127608	quantMtRNAseq_Cerebellum_tRNA_2	2	shrimp
multiple	single	incorrect	107	quantMtRNAseq_Cerebellum_tRNA_2	2	shrimp
multiple	multiple	incorrect	19672	quantMtRNAseq_Cerebellum_tRNA_2	2	shrimp
single	single	correct	158139	quantMtRNAseq_Cerebellum_tRNA_2	3	bowtie2
single	single	incorrect	708	quantMtRNAseq_Cerebellum_tRNA_2	3	bowtie2
multiple	multiple	incorrect	40147	quantMtRNAseq_Cerebellum_tRNA_2	3	bowtie2
multiple	single	correct	794893	quantMtRNAseq_Cerebellum_tRNA_2	3	bowtie2
multiple	single	incorrect	263	quantMtRNAseq_Cerebellum_tRNA_2	3	bowtie2
single	single	correct	131230	quantMtRNAseq_Cerebellum_tRNA_2	3	shrimp
single	single	incorrect	339	quantMtRNAseq_Cerebellum_tRNA_2	3	shrimp
multiple	single	correct	708047	quantMtRNAseq_Cerebellum_tRNA_2	3	shrimp
multiple	single	incorrect	415	quantMtRNAseq_Cerebellum_tRNA_2	3	shrimp
multiple	multiple	incorrect	8376	quantMtRNAseq_Cerebellum_tRNA_2	3	shrimp
multiple	single	correct	174430	quantMtRNAseq_Cerebellum_tRNA_2	4	bowtie2
multiple	single	incorrect	275	quantMtRNAseq_Cerebellum_tRNA_2	4	bowtie2
multiple	multiple	incorrect	319599	quantMtRNAseq_Cerebellum_tRNA_2	4	bowtie2
single	single	correct	477986	quantMtRNAseq_Cerebellum_tRNA_2	4	bowtie2
single	single	incorrect	1830	quantMtRNAseq_Cerebellum_tRNA_2	4	bowtie2
multiple	single	correct	90279	quantMtRNAseq_Cerebellum_tRNA_2	4	shrimp
multiple	single	incorrect	135	quantMtRNAseq_Cerebellum_tRNA_2	4	shrimp
multiple	multiple	incorrect	28769	quantMtRNAseq_Cerebellum_tRNA_2	4	shrimp
single	single	correct	308542	quantMtRNAseq_Cerebellum_tRNA_2	4	shrimp
single	single	incorrect	326	quantMtRNAseq_Cerebellum_tRNA_2	4	shrimp
single	single	correct	439007	quantMtRNAseq_Cerebellum_tRNA_2	5	bowtie2
single	single	incorrect	1182	quantMtRNAseq_Cerebellum_tRNA_2	5	bowtie2
multiple	multiple	incorrect	230829	quantMtRNAseq_Cerebellum_tRNA_2	5	bowtie2
multiple	single	correct	315590	quantMtRNAseq_Cerebellum_tRNA_2	5	bowtie2
multiple	single	incorrect	524	quantMtRNAseq_Cerebellum_tRNA_2	5	bowtie2
single	single	correct	428819	quantMtRNAseq_Cerebellum_tRNA_2	5	shrimp
single	single	incorrect	255	quantMtRNAseq_Cerebellum_tRNA_2	5	shrimp
multiple	single	correct	270494	quantMtRNAseq_Cerebellum_tRNA_2	5	shrimp
multiple	single	incorrect	78	quantMtRNAseq_Cerebellum_tRNA_2	5	shrimp
multiple	multiple	incorrect	5176	quantMtRNAseq_Cerebellum_tRNA_2	5	shrimp
multiple	single	correct	514424	quantMtRNAseq_Cerebellum_tRNA_2	6	bowtie2
multiple	single	incorrect	299	quantMtRNAseq_Cerebellum_tRNA_2	6	bowtie2
multiple	multiple	incorrect	130828	quantMtRNAseq_Cerebellum_tRNA_2	6	bowtie2
single	single	incorrect	2283	quantMtRNAseq_Cerebellum_tRNA_2	6	bowtie2
single	single	correct	336468	quantMtRNAseq_Cerebellum_tRNA_2	6	bowtie2
multiple	single	correct	283669	quantMtRNAseq_Cerebellum_tRNA_2	6	shrimp
multiple	single	incorrect	366	quantMtRNAseq_Cerebellum_tRNA_2	6	shrimp
