alignments	anticodons	agreement	count	input_file	simulation_n	quant_method
multiple	single	correct	328034	quantMtRNAseq_Cortex_tRNA_1	1	shrimp
multiple	single	incorrect	346	quantMtRNAseq_Cortex_tRNA_1	1	shrimp
multiple	multiple	incorrect	71824	quantMtRNAseq_Cortex_tRNA_1	1	shrimp
single	single	correct	181726	quantMtRNAseq_Cortex_tRNA_1	1	shrimp
single	single	incorrect	251	quantMtRNAseq_Cortex_tRNA_1	1	shrimp
multiple	multiple	incorrect	130424	quantMtRNAseq_Cortex_tRNA_1	2	bowtie2
multiple	single	correct	154829	quantMtRNAseq_Cortex_tRNA_1	2	bowtie2
multiple	single	incorrect	231	quantMtRNAseq_Cortex_tRNA_1	2	bowtie2
single	single	correct	690509	quantMtRNAseq_Cortex_tRNA_1	2	bowtie2
single	single	incorrect	1298	quantMtRNAseq_Cortex_tRNA_1	2	bowtie2
multiple	single	correct	113819	quantMtRNAseq_Cortex_tRNA_1	2	shrimp
multiple	single	incorrect	149	quantMtRNAseq_Cortex_tRNA_1	2	shrimp
multiple	multiple	incorrect	16373	quantMtRNAseq_Cortex_tRNA_1	2	shrimp
single	single	correct	481769	quantMtRNAseq_Cortex_tRNA_1	2	shrimp
single	single	incorrect	220	quantMtRNAseq_Cortex_tRNA_1	2	shrimp
multiple	single	correct	232628	quantMtRNAseq_Cortex_tRNA_1	3	bowtie2
multiple	single	incorrect	166	quantMtRNAseq_Cortex_tRNA_1	3	bowtie2
multiple	multiple	incorrect	478603	quantMtRNAseq_Cortex_tRNA_1	3	bowtie2
single	single	correct	253975	quantMtRNAseq_Cortex_tRNA_1	3	bowtie2
single	single	incorrect	3362	quantMtRNAseq_Cortex_tRNA_1	3	bowtie2
multiple	single	correct	58907	quantMtRNAseq_Cortex_tRNA_1	3	shrimp
multiple	single	incorrect	114	quantMtRNAseq_Cortex_tRNA_1	3	shrimp
multiple	multiple	incorrect	25564	quantMtRNAseq_Cortex_tRNA_1	3	shrimp
single	single	correct	238200	quantMtRNAseq_Cortex_tRNA_1	3	shrimp
single	single	incorrect	148	quantMtRNAseq_Cortex_tRNA_1	3	shrimp
single	single	correct	192131	quantMtRNAseq_Cortex_tRNA_1	4	bowtie2
single	single	incorrect	1567	quantMtRNAseq_Cortex_tRNA_1	4	bowtie2
multiple	single	correct	595766	quantMtRNAseq_Cortex_tRNA_1	4	bowtie2
multiple	single	incorrect	330	quantMtRNAseq_Cortex_tRNA_1	4	bowtie2
multiple	multiple	incorrect	191119	quantMtRNAseq_Cortex_tRNA_1	4	bowtie2
multiple	single	correct	411159	quantMtRNAseq_Cortex_tRNA_1	4	shrimp
multiple	single	incorrect	52	quantMtRNAseq_Cortex_tRNA_1	4	shrimp
multiple	multiple	incorrect	7013	quantMtRNAseq_Cortex_tRNA_1	4	shrimp
single	single	correct	169103	quantMtRNAseq_Cortex_tRNA_1	4	shrimp
single	single	incorrect	139	quantMtRNAseq_Cortex_tRNA_1	4	shrimp
multiple	single	correct	532633	quantMtRNAseq_Cortex_tRNA_1	5	bowtie2
multiple	single	incorrect	495	quantMtRNAseq_Cortex_tRNA_1	5	bowtie2
multiple	multiple	incorrect	163446	quantMtRNAseq_Cortex_tRNA_1	5	bowtie2
single	single	correct	289265	quantMtRNAseq_Cortex_tRNA_1	5	bowtie2
single	single	incorrect	1378	quantMtRNAseq_Cortex_tRNA_1	5	bowtie2
multiple	single	correct	391426	quantMtRNAseq_Cortex_tRNA_1	5	shrimp
multiple	single	incorrect	351	quantMtRNAseq_Cortex_tRNA_1	5	shrimp
multiple	multiple	incorrect	72764	quantMtRNAseq_Cortex_tRNA_1	5	shrimp
single	single	correct	262413	quantMtRNAseq_Cortex_tRNA_1	5	shrimp
single	single	incorrect	142	quantMtRNAseq_Cortex_tRNA_1	5	shrimp
multiple	multiple	incorrect	212918	quantMtRNAseq_Cortex_tRNA_1	6	bowtie2
multiple	single	correct	252190	quantMtRNAseq_Cortex_tRNA_1	6	bowtie2
multiple	single	incorrect	863	quantMtRNAseq_Cortex_tRNA_1	6	bowtie2
single	single	correct	488608	quantMtRNAseq_Cortex_tRNA_1	6	bowtie2
single	single	incorrect	4102	quantMtRNAseq_Cortex_tRNA_1	6	bowtie2
single	single	correct	357807	quantMtRNAseq_Cortex_tRNA_1	6	shrimp
single	single	incorrect	254	quantMtRNAseq_Cortex_tRNA_1	6	shrimp
multiple	multiple	incorrect	10638	quantMtRNAseq_Cortex_tRNA_1	6	shrimp
multiple	single	correct	109725	quantMtRNAseq_Cortex_tRNA_1	6	shrimp
multiple	single	incorrect	108	quantMtRNAseq_Cortex_tRNA_1	6	shrimp
multiple	single	correct	353855	quantMtRNAseq_Cortex_tRNA_1	7	bowtie2
multiple	single	incorrect	293	quantMtRNAseq_Cortex_tRNA_1	7	bowtie2
multiple	multiple	incorrect	116490	quantMtRNAseq_Cortex_tRNA_1	7	bowtie2
single	single	correct	509722	quantMtRNAseq_Cortex_tRNA_1	7	bowtie2
single	single	incorrect	2505	quantMtRNAseq_Cortex_tRNA_1	7	bowtie2
multiple	single	correct	236222	quantMtRNAseq_Cortex_tRNA_1	7	shrimp
multiple	single	incorrect	91	quantMtRNAseq_Cortex_tRNA_1	7	shrimp
multiple	multiple	incorrect	6976	quantMtRNAseq_Cortex_tRNA_1	7	shrimp
single	single	correct	451437	quantMtRNAseq_Cortex_tRNA_1	7	shrimp
single	single	incorrect	567	quantMtRNAseq_Cortex_tRNA_1	7	shrimp
multiple	single	correct	730770	quantMtRNAseq_Cortex_tRNA_1	8	bowtie2
multiple	single	incorrect	156	quantMtRNAseq_Cortex_tRNA_1	8	bowtie2
multiple	multiple	incorrect	47852	quantMtRNAseq_Cortex_tRNA_1	8	bowtie2
single	single	correct	205977	quantMtRNAseq_Cortex_tRNA_1	8	bowtie2
single	single	incorrect	835	quantMtRNAseq_Cortex_tRNA_1	8	bowtie2
multiple	single	correct	567480	quantMtRNAseq_Cortex_tRNA_1	8	shrimp
multiple	single	incorrect	26	quantMtRNAseq_Cortex_tRNA_1	8	shrimp
multiple	multiple	incorrect	2089	quantMtRNAseq_Cortex_tRNA_1	8	shrimp
single	single	correct	128775	quantMtRNAseq_Cortex_tRNA_1	8	shrimp
single	single	incorrect	105	quantMtRNAseq_Cortex_tRNA_1	8	shrimp
multiple	single	correct	211342	quantMtRNAseq_Cortex_tRNA_1	9	bowtie2
multiple	single	incorrect	255	quantMtRNAseq_Cortex_tRNA_1	9	bowtie2
multiple	multiple	incorrect	430433	quantMtRNAseq_Cortex_tRNA_1	9	bowtie2
single	single	correct	325401	quantMtRNAseq_Cortex_tRNA_1	9	bowtie2
single	single	incorrect	1889	quantMtRNAseq_Cortex_tRNA_1	9	bowtie2
multiple	single	correct	108123	quantMtRNAseq_Cortex_tRNA_1	9	shrimp
multiple	single	incorrect	71	quantMtRNAseq_Cortex_tRNA_1	9	shrimp
multiple	multiple	incorrect	8646	quantMtRNAseq_Cortex_tRNA_1	9	shrimp
single	single	correct	271697	quantMtRNAseq_Cortex_tRNA_1	9	shrimp
single	single	incorrect	236	quantMtRNAseq_Cortex_tRNA_1	9	shrimp
single	single	correct	404967	quantMtRNAseq_Cortex_tRNA_2	0	bowtie2
single	single	incorrect	1203	quantMtRNAseq_Cortex_tRNA_2	0	bowtie2
multiple	single	correct	194531	quantMtRNAseq_Cortex_tRNA_2	0	bowtie2
multiple	single	incorrect	233	quantMtRNAseq_Cortex_tRNA_2	0	bowtie2
multiple	multiple	incorrect	110578	quantMtRNAseq_Cortex_tRNA_2	0	bowtie2
single	single	correct	232435	quantMtRNAseq_Cortex_tRNA_2	0	shrimp
single	single	incorrect	80	quantMtRNAseq_Cortex_tRNA_2	0	shrimp
multiple	single	correct	129961	quantMtRNAseq_Cortex_tRNA_2	0	shrimp
multiple	single	incorrect	111	quantMtRNAseq_Cortex_tRNA_2	0	shrimp
multiple	multiple	incorrect	10965	quantMtRNAseq_Cortex_tRNA_2	0	shrimp
multiple	single	correct	228156	quantMtRNAseq_Cortex_tRNA_2	1	bowtie2
multiple	single	incorrect	1016	quantMtRNAseq_Cortex_tRNA_2	1	bowtie2
multiple	multiple	incorrect	68967	quantMtRNAseq_Cortex_tRNA_2	1	bowtie2
single	single	correct	672015	quantMtRNAseq_Cortex_tRNA_2	1	bowtie2
single	single	incorrect	2091	quantMtRNAseq_Cortex_tRNA_2	1	bowtie2
multiple	single	correct	149046	quantMtRNAseq_Cortex_tRNA_2	1	shrimp
multiple	single	incorrect	105	quantMtRNAseq_Cortex_tRNA_2	1	shrimp
multiple	multiple	incorrect	4420	quantMtRNAseq_Cortex_tRNA_2	1	shrimp
single	single	correct	243523	quantMtRNAseq_Cortex_tRNA_2	1	shrimp
single	single	incorrect	154	quantMtRNAseq_Cortex_tRNA_2	1	shrimp
multiple	single	correct	504104	quantMtRNAseq_Cortex_tRNA_2	2	bowtie2
multiple	single	incorrect	839	quantMtRNAseq_Cortex_tRNA_2	2	bowtie2
multiple	multiple	incorrect	217689	quantMtRNAseq_Cortex_tRNA_2	2	bowtie2
single	single	correct	248368	quantMtRNAseq_Cortex_tRNA_2	2	bowtie2
single	single	incorrect	1349	quantMtRNAseq_Cortex_tRNA_2	2	bowtie2
multiple	single	correct	459310	quantMtRNAseq_Cortex_tRNA_2	2	shrimp
multiple	single	incorrect	103	quantMtRNAseq_Cortex_tRNA_2	2	shrimp
multiple	multiple	incorrect	11382	quantMtRNAseq_Cortex_tRNA_2	2	shrimp
single	single	correct	224967	quantMtRNAseq_Cortex_tRNA_2	2	shrimp
single	single	incorrect	246	quantMtRNAseq_Cortex_tRNA_2	2	shrimp
single	single	correct	302426	quantMtRNAseq_Cortex_tRNA_2	3	bowtie2
single	single	incorrect	1763	quantMtRNAseq_Cortex_tRNA_2	3	bowtie2
multiple	multiple	incorrect	200035	quantMtRNAseq_Cortex_tRNA_2	3	bowtie2
multiple	single	correct	483272	quantMtRNAseq_Cortex_tRNA_2	3	bowtie2
multiple	single	incorrect	530	quantMtRNAseq_Cortex_tRNA_2	3	bowtie2
single	single	correct	283449	quantMtRNAseq_Cortex_tRNA_2	3	shrimp
single	single	incorrect	181	quantMtRNAseq_Cortex_tRNA_2	3	shrimp
multiple	multiple	incorrect	10596	quantMtRNAseq_Cortex_tRNA_2	3	shrimp
multiple	single	correct	435208	quantMtRNAseq_Cortex_tRNA_2	3	shrimp
multiple	single	incorrect	125	quantMtRNAseq_Cortex_tRNA_2	3	shrimp
multiple	single	correct	463055	quantMtRNAseq_Cortex_tRNA_2	4	bowtie2
multiple	single	incorrect	1405	quantMtRNAseq_Cortex_tRNA_2	4	bowtie2
multiple	multiple	incorrect	234137	quantMtRNAseq_Cortex_tRNA_2	4	bowtie2
single	single	correct	283515	quantMtRNAseq_Cortex_tRNA_2	4	bowtie2
single	single	incorrect	1900	quantMtRNAseq_Cortex_tRNA_2	4	bowtie2
multiple	single	correct	385241	quantMtRNAseq_Cortex_tRNA_2	4	shrimp
multiple	single	incorrect	439	quantMtRNAseq_Cortex_tRNA_2	4	shrimp
multiple	multiple	incorrect	16755	quantMtRNAseq_Cortex_tRNA_2	4	shrimp
single	single	correct	219465	quantMtRNAseq_Cortex_tRNA_2	4	shrimp
single	single	incorrect	322	quantMtRNAseq_Cortex_tRNA_2	4	shrimp
multiple	single	correct	827238	quantMtRNAseq_Cortex_tRNA_2	5	bowtie2
multiple	single	incorrect	146	quantMtRNAseq_Cortex_tRNA_2	5	bowtie2
multiple	multiple	incorrect	53788	quantMtRNAseq_Cortex_tRNA_2	5	bowtie2
single	single	correct	99278	quantMtRNAseq_Cortex_tRNA_2	5	bowtie2
single	single	incorrect	2358	quantMtRNAseq_Cortex_tRNA_2	5	bowtie2
multiple	single	correct	673725	quantMtRNAseq_Cortex_tRNA_2	5	shrimp
multiple	single	incorrect	78	quantMtRNAseq_Cortex_tRNA_2	5	shrimp
multiple	multiple	incorrect	11881	quantMtRNAseq_Cortex_tRNA_2	5	shrimp
single	single	correct	61816	quantMtRNAseq_Cortex_tRNA_2	5	shrimp
single	single	incorrect	1599	quantMtRNAseq_Cortex_tRNA_2	5	shrimp
multiple	single	correct	288770	quantMtRNAseq_Cortex_tRNA_2	6	bowtie2
multiple	single	incorrect	418	quantMtRNAseq_Cortex_tRNA_2	6	bowtie2
multiple	multiple	incorrect	152103	quantMtRNAseq_Cortex_tRNA_2	6	bowtie2
single	single	correct	530390	quantMtRNAseq_Cortex_tRNA_2	6	bowtie2
single	single	incorrect	2942	quantMtRNAseq_Cortex_tRNA_2	6	bowtie2
multiple	single	correct	170060	quantMtRNAseq_Cortex_tRNA_2	6	shrimp
multiple	single	incorrect	166	quantMtRNAseq_Cortex_tRNA_2	6	shrimp
multiple	multiple	incorrect	13517	quantMtRNAseq_Cortex_tRNA_2	6	shrimp
single	single	correct	323693	quantMtRNAseq_Cortex_tRNA_2	6	shrimp
single	single	incorrect	332	quantMtRNAseq_Cortex_tRNA_2	6	shrimp
multiple	single	correct	346522	quantMtRNAseq_Cortex_tRNA_2	7	bowtie2
multiple	single	incorrect	501	quantMtRNAseq_Cortex_tRNA_2	7	bowtie2
multiple	multiple	incorrect	83135	quantMtRNAseq_Cortex_tRNA_2	7	bowtie2
single	single	correct	550518	quantMtRNAseq_Cortex_tRNA_2	7	bowtie2
single	single	incorrect	2189	quantMtRNAseq_Cortex_tRNA_2	7	bowtie2
multiple	single	correct	258050	quantMtRNAseq_Cortex_tRNA_2	7	shrimp
multiple	single	incorrect	103	quantMtRNAseq_Cortex_tRNA_2	7	shrimp
multiple	multiple	incorrect	4901	quantMtRNAseq_Cortex_tRNA_2	7	shrimp
single	single	correct	347713	quantMtRNAseq_Cortex_tRNA_2	7	shrimp
single	single	incorrect	114	quantMtRNAseq_Cortex_tRNA_2	7	shrimp
multiple	single	correct	643208	quantMtRNAseq_Cortex_tRNA_2	8	bowtie2
multiple	single	incorrect	504	quantMtRNAseq_Cortex_tRNA_2	8	bowtie2
multiple	multiple	incorrect	170090	quantMtRNAseq_Cortex_tRNA_2	8	bowtie2
single	single	correct	145763	quantMtRNAseq_Cortex_tRNA_2	8	bowtie2
single	single	incorrect	1430	quantMtRNAseq_Cortex_tRNA_2	8	bowtie2
multiple	single	correct	396653	quantMtRNAseq_Cortex_tRNA_2	8	shrimp
multiple	single	incorrect	440	quantMtRNAseq_Cortex_tRNA_2	8	shrimp
multiple	multiple	incorrect	25791	quantMtRNAseq_Cortex_tRNA_2	8	shrimp
single	single	correct	95573	quantMtRNAseq_Cortex_tRNA_2	8	shrimp
single	single	incorrect	273	quantMtRNAseq_Cortex_tRNA_2	8	shrimp
multiple	single	correct	729340	quantMtRNAseq_Cortex_tRNA_2	9	bowtie2
multiple	single	incorrect	978	quantMtRNAseq_Cortex_tRNA_2	9	bowtie2
multiple	multiple	incorrect	125783	quantMtRNAseq_Cortex_tRNA_2	9	bowtie2
single	single	correct	112330	quantMtRNAseq_Cortex_tRNA_2	9	bowtie2
single	single	incorrect	1393	quantMtRNAseq_Cortex_tRNA_2	9	bowtie2
multiple	single	correct	365450	quantMtRNAseq_Cortex_tRNA_2	9	shrimp
multiple	single	incorrect	144	quantMtRNAseq_Cortex_tRNA_2	9	shrimp
multiple	multiple	incorrect	20538	quantMtRNAseq_Cortex_tRNA_2	9	shrimp
single	single	correct	70589	quantMtRNAseq_Cortex_tRNA_2	9	shrimp
single	single	incorrect	79	quantMtRNAseq_Cortex_tRNA_2	9	shrimp
multiple	single	correct	263846	quantMtRNAseq_Cortex_tRNA_3	0	bowtie2
multiple	single	incorrect	371	quantMtRNAseq_Cortex_tRNA_3	0	bowtie2
multiple	multiple	incorrect	121861	quantMtRNAseq_Cortex_tRNA_3	0	bowtie2
single	single	incorrect	1610	quantMtRNAseq_Cortex_tRNA_3	0	bowtie2
single	single	correct	593110	quantMtRNAseq_Cortex_tRNA_3	0	bowtie2
multiple	single	correct	154326	quantMtRNAseq_Cortex_tRNA_3	0	shrimp
multiple	single	incorrect	242	quantMtRNAseq_Cortex_tRNA_3	0	shrimp
multiple	multiple	incorrect	12509	quantMtRNAseq_Cortex_tRNA_3	0	shrimp
single	single	correct	520720	quantMtRNAseq_Cortex_tRNA_3	0	shrimp
single	single	incorrect	203	quantMtRNAseq_Cortex_tRNA_3	0	shrimp
multiple	single	correct	576619	quantMtRNAseq_Cortex_tRNA_3	1	bowtie2
multiple	single	incorrect	399	quantMtRNAseq_Cortex_tRNA_3	1	bowtie2
multiple	multiple	incorrect	154350	quantMtRNAseq_Cortex_tRNA_3	1	bowtie2
single	single	correct	239540	quantMtRNAseq_Cortex_tRNA_3	1	bowtie2
single	single	incorrect	1839	quantMtRNAseq_Cortex_tRNA_3	1	bowtie2
multiple	single	correct	375231	quantMtRNAseq_Cortex_tRNA_3	1	shrimp
multiple	single	incorrect	132	quantMtRNAseq_Cortex_tRNA_3	1	shrimp
multiple	multiple	incorrect	18860	quantMtRNAseq_Cortex_tRNA_3	1	shrimp
single	single	correct	134646	quantMtRNAseq_Cortex_tRNA_3	1	shrimp
single	single	incorrect	206	quantMtRNAseq_Cortex_tRNA_3	1	shrimp
multiple	multiple	incorrect	92423	quantMtRNAseq_Cortex_tRNA_3	2	bowtie2
multiple	single	correct	381266	quantMtRNAseq_Cortex_tRNA_3	2	bowtie2
multiple	single	incorrect	1647	quantMtRNAseq_Cortex_tRNA_3	2	bowtie2
single	single	correct	497915	quantMtRNAseq_Cortex_tRNA_3	2	bowtie2
single	single	incorrect	4168	quantMtRNAseq_Cortex_tRNA_3	2	bowtie2
single	single	correct	280846	quantMtRNAseq_Cortex_tRNA_3	2	shrimp
single	single	incorrect	478	quantMtRNAseq_Cortex_tRNA_3	2	shrimp
multiple	single	correct	188353	quantMtRNAseq_Cortex_tRNA_3	2	shrimp
multiple	single	incorrect	164	quantMtRNAseq_Cortex_tRNA_3	2	shrimp
multiple	multiple	incorrect	7834	quantMtRNAseq_Cortex_tRNA_3	2	shrimp
single	single	correct	61839	quantMtRNAseq_Cortex_tRNA_3	3	bowtie2
single	single	incorrect	4788	quantMtRNAseq_Cortex_tRNA_3	3	bowtie2
multiple	multiple	incorrect	623247	quantMtRNAseq_Cortex_tRNA_3	3	bowtie2
multiple	single	correct	276003	quantMtRNAseq_Cortex_tRNA_3	3	bowtie2
multiple	single	incorrect	485	quantMtRNAseq_Cortex_tRNA_3	3	bowtie2
single	single	correct	53142	quantMtRNAseq_Cortex_tRNA_3	3	shrimp
single	single	incorrect	307	quantMtRNAseq_Cortex_tRNA_3	3	shrimp
multiple	multiple	incorrect	36987	quantMtRNAseq_Cortex_tRNA_3	3	shrimp
multiple	single	correct	131338	quantMtRNAseq_Cortex_tRNA_3	3	shrimp
multiple	single	incorrect	444	quantMtRNAseq_Cortex_tRNA_3	3	shrimp
multiple	single	correct	390383	quantMtRNAseq_Cortex_tRNA_3	4	bowtie2
multiple	single	incorrect	247	quantMtRNAseq_Cortex_tRNA_3	4	bowtie2
multiple	multiple	incorrect	134289	quantMtRNAseq_Cortex_tRNA_3	4	bowtie2
single	single	correct	455675	quantMtRNAseq_Cortex_tRNA_3	4	bowtie2
single	single	incorrect	2818	quantMtRNAseq_Cortex_tRNA_3	4	bowtie2
multiple	single	correct	250617	quantMtRNAseq_Cortex_tRNA_3	4	shrimp
multiple	single	incorrect	303	quantMtRNAseq_Cortex_tRNA_3	4	shrimp
multiple	multiple	incorrect	6402	quantMtRNAseq_Cortex_tRNA_3	4	shrimp
single	single	correct	353595	quantMtRNAseq_Cortex_tRNA_3	4	shrimp
single	single	incorrect	1872	quantMtRNAseq_Cortex_tRNA_3	4	shrimp
multiple	single	correct	438756	quantMtRNAseq_Cortex_tRNA_3	5	bowtie2
multiple	single	incorrect	252	quantMtRNAseq_Cortex_tRNA_3	5	bowtie2
multiple	multiple	incorrect	175977	quantMtRNAseq_Cortex_tRNA_3	5	bowtie2
single	single	correct	266663	quantMtRNAseq_Cortex_tRNA_3	5	bowtie2
single	single	incorrect	3005	quantMtRNAseq_Cortex_tRNA_3	5	bowtie2
multiple	single	correct	350634	quantMtRNAseq_Cortex_tRNA_3	5	shrimp
multiple	single	incorrect	36	quantMtRNAseq_Cortex_tRNA_3	5	shrimp
multiple	multiple	incorrect	3522	quantMtRNAseq_Cortex_tRNA_3	5	shrimp
single	single	correct	145251	quantMtRNAseq_Cortex_tRNA_3	5	shrimp
single	single	incorrect	74	quantMtRNAseq_Cortex_tRNA_3	5	shrimp
multiple	single	correct	487386	quantMtRNAseq_Cortex_tRNA_3	6	bowtie2
multiple	single	incorrect	387	quantMtRNAseq_Cortex_tRNA_3	6	bowtie2
multiple	multiple	incorrect	92021	quantMtRNAseq_Cortex_tRNA_3	6	bowtie2
single	single	correct	395555	quantMtRNAseq_Cortex_tRNA_3	6	bowtie2
single	single	incorrect	1331	quantMtRNAseq_Cortex_tRNA_3	6	bowtie2
multiple	single	correct	283374	quantMtRNAseq_Cortex_tRNA_3	6	shrimp
multiple	single	incorrect	81	quantMtRNAseq_Cortex_tRNA_3	6	shrimp
multiple	multiple	incorrect	7184	quantMtRNAseq_Cortex_tRNA_3	6	shrimp
single	single	correct	294765	quantMtRNAseq_Cortex_tRNA_3	6	shrimp
single	single	incorrect	146	quantMtRNAseq_Cortex_tRNA_3	6	shrimp
multiple	single	correct	849550	quantMtRNAseq_Cortex_tRNA_3	7	bowtie2
multiple	single	incorrect	137	quantMtRNAseq_Cortex_tRNA_3	7	bowtie2
multiple	multiple	incorrect	42455	quantMtRNAseq_Cortex_tRNA_3	7	bowtie2
single	single	correct	90868	quantMtRNAseq_Cortex_tRNA_3	7	bowtie2
single	single	incorrect	1124	quantMtRNAseq_Cortex_tRNA_3	7	bowtie2
multiple	single	correct	697116	quantMtRNAseq_Cortex_tRNA_3	7	shrimp
multiple	single	incorrect	54	quantMtRNAseq_Cortex_tRNA_3	7	shrimp
multiple	multiple	incorrect	2144	quantMtRNAseq_Cortex_tRNA_3	7	shrimp
single	single	correct	72812	quantMtRNAseq_Cortex_tRNA_3	7	shrimp
single	single	incorrect	77	quantMtRNAseq_Cortex_tRNA_3	7	shrimp
multiple	single	correct	905406	quantMtRNAseq_Cortex_tRNA_3	8	bowtie2
multiple	single	incorrect	69	quantMtRNAseq_Cortex_tRNA_3	8	bowtie2
multiple	multiple	incorrect	34474	quantMtRNAseq_Cortex_tRNA_3	8	bowtie2
single	single	correct	55917	quantMtRNAseq_Cortex_tRNA_3	8	bowtie2
single	single	incorrect	503	quantMtRNAseq_Cortex_tRNA_3	8	bowtie2
multiple	single	correct	868951	quantMtRNAseq_Cortex_tRNA_3	8	shrimp
multiple	single	incorrect	36	quantMtRNAseq_Cortex_tRNA_3	8	shrimp
multiple	multiple	incorrect	8188	quantMtRNAseq_Cortex_tRNA_3	8	shrimp
single	single	correct	28882	quantMtRNAseq_Cortex_tRNA_3	8	shrimp
single	single	incorrect	165	quantMtRNAseq_Cortex_tRNA_3	8	shrimp
multiple	single	correct	732798	quantMtRNAseq_Cortex_tRNA_3	9	bowtie2
multiple	single	incorrect	342	quantMtRNAseq_Cortex_tRNA_3	9	bowtie2
multiple	multiple	incorrect	106912	quantMtRNAseq_Cortex_tRNA_3	9	bowtie2
single	single	correct	150329	quantMtRNAseq_Cortex_tRNA_3	9	bowtie2
single	single	incorrect	982	quantMtRNAseq_Cortex_tRNA_3	9	bowtie2
multiple	single	correct	614561	quantMtRNAseq_Cortex_tRNA_3	9	shrimp
multiple	single	incorrect	270	quantMtRNAseq_Cortex_tRNA_3	9	shrimp
multiple	multiple	incorrect	66672	quantMtRNAseq_Cortex_tRNA_3	9	shrimp
single	single	correct	121185	quantMtRNAseq_Cortex_tRNA_3	9	shrimp
single	single	incorrect	589	quantMtRNAseq_Cortex_tRNA_3	9	shrimp
