Name	input_file	simulation_n	truth	NumReads	quant_method	tally_method
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_3	0	8	8	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_3	1	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_3	2	1207	1195	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_3	3	1042	1028	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_3	4	9	9	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_3	5	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_3	6	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_3	7	1013	1004	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_3	8	7	7	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cerebellum_tRNA_3	9	8	8	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_1	0	14	12	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_1	1	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_1	2	16	16	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_1	3	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_1	4	63	63	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_1	5	22	22	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_1	6	14	14	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_1	7	3	3	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_1	8	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_1	9	56	56	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_2	0	2	2	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_2	1	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_2	2	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_2	3	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_2	4	43	42	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_2	5	68	68	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_2	6	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_2	7	98	97	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_2	8	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_2	9	2311	2283	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_3	0	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_3	1	2	2	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_3	2	12	12	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_3	3	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_3	4	8	7	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_3	5	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_3	6	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_3	7	2	2	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_3	8	3012	2980	mimseq	mimseq
Mus_musculus_MTtRNA-Ala-TGC	quantMtRNAseq_Cortex_tRNA_3	9	2	2	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_1	0	1692	1670	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_1	1	5	5	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_1	2	111	108	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_1	3	212	208	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_1	4	5	5	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_1	5	11753	11606	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_1	6	1723	1702	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_1	7	13	13	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_1	8	3	3	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_1	9	785	774	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_2	0	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_2	1	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_2	2	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_2	3	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_2	4	12	12	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_2	5	97	97	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_2	6	152	150	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_2	7	17	17	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_2	8	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_2	9	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_3	0	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_3	1	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_3	2	7	7	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_3	3	402	398	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_3	4	6	6	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_3	5	82	81	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_3	6	501	495	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_3	7	98	96	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_3	8	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cerebellum_tRNA_3	9	30	30	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_1	0	799	782	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_1	1	43	42	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_1	2	4	3	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_1	3	2	2	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_1	4	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_1	5	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_1	6	62	60	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_1	7	131	123	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_1	8	86	84	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_1	9	7	7	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_2	0	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_2	1	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_2	2	1045	1033	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_2	3	828	820	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_2	4	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_2	5	12	12	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_2	6	39	38	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_2	7	25	25	mimseq	mimseq
